"","hop","avg_list_1","avg_list_2"
"1",1,4.65733333333333,214.964
"2",2,3.85566666666667,321.566
"3",3,4.293,15.962
"4",4,4.50933333333333,16.969
"5",5,6.78033333333333,419.552333333333
"6",6,5.63933333333333,19.481
"7",7,5.61,29.8313333333333
"8",8,15.7563333333333,0
"9",9,16.682,25.2736666666667
"10",10,71.7556666666667,68.8486666666667
"11",11,25.7856666666667,63.256
